,manufacturer,Device Type,org_price,Weight,Processor Manufacturer,Processor Series,Processor Model,Processor Cache Memory,RAM Memory,Screen Size,Screen Type,RAM Type,Internal Memory Type,Operating System,Graphics Card Manufacturer,Graphics Card Model,Battery Cell Count,store
3097,lenovo,b5070-pentium-2gb-500gb,,2.5,INTEL,Pentium,Pentium-3558u,2.0,2.0,15.6,HD LED Display with True Life,DDR3,SATA,Dos,Intel,HD 4000 Graphics,4.0,meghdad
3098,acer,aspire-v3-574g,,2.5,INTEL,Core i7,5500U,4.0,8.0,15.6,IPS LCD,DDR3,SATA,Dos,Nvidia,GT 940M,4.0,meghdad
3099,acer,aspire-e5-571g,,2.5,INTEL,Core i5,4210U,3.0,4.0,15.6,LED Backlight,DDR3,SATA,Dos,Nvidia,820M,6.0,meghdad
3100,acer,aspire-e1-572g,,2.4,INTEL,Core i5,4200U,3.0,4.0,15.6,HD Widescreen CineCrystal LED-Backlit,DDR3,SATA,Dos,AMD,R7 M265,4.0,meghdad
3101,acer,aspire-e1-572g,,2.4,INTEL,Core i5,4200U,3.0,4.0,15.6,HD Widescreen CineCrystal LED-Backlit,DDR3,SATA,Dos,AMD,R7 M265,4.0,meghdad
3102,acer,aspire-e1-570g,,2.35,INTEL,Core i3,3217U,3.0,4.0,15.6,Active Matrix TFT Colour LCD,DDR3,SATA,Dos,Nvidia,GT 740M,4.0,meghdad
3103,acer,aspire-v5-561g,,2.35,INTEL,Core i7,4500U,4.0,8.0,15.6,TFT LED-backlit LCD,DDR3,SATA,Dos,Nvidia,GT 750M,4.0,meghdad
3104,acer,aspire-e5-573g,,2.39,INTEL,Core i5,5200U,3.0,6.0,15.6,TFT LED-backlit LCD,DDR3,SATA,Dos,Nvidia,GT 940M,4.0,meghdad
3105,acer,aspire-e5-573g,,2.39,INTEL,Core i5,5200U,3.0,6.0,15.6,TFT LED-backlit LCD,DDR3,SATA,Dos,Nvidia,GT 940M,4.0,meghdad
3106,acer,aspire-e5-573tg,,2.39,INTEL,Core i7,5500U,4.0,8.0,15.6,TFT LED-backlit LCD,DDR3,SATA,Dos,Nvidia,GT 940M,4.0,meghdad
3107,acer,predator,,3.4,INTEL,Core i7,6700HQ,6.0,16.0,15.6,IPS LCD,DDR4,SSDSATA,Dos,Nvidia,GTX 980M GDDR5,8.0,meghdad
3108,acer,aspire-v17-nitro,,2.3,INTEL,Core i7,4720HQ,6.0,8.0,17.0,IPS LCD,DDR3,SATA,Dos,Nvidia,GTX 960M,3.0,meghdad
3109,acer,aspire-v15-nitro,,2.3,INTEL,Core i7,6700HQ,6.0,16.0,15.6,IPS LCD,DDR4,SSDSATA,Dos,Nvidia,GTX 960M,3.0,meghdad
3110,lenovo,g5070,,2.5,INTEL,Core i5,,3.0,4.0,15.6,HD LED,DDR3,SATA,Dos,AMD, R5 M230 ,4.0,meghdad
3111,lenovo,s510,,2.58,INTEL,Core i7,4500U,4.0,6.0,15.6,TFT LED-Backlit LCD,DDR3,SATA,Dos,Nvidia,GT 720M,4.0,meghdad
3112,lenovo,s510,,2.58,INTEL,Core i7,4500U,4.0,8.0,15.6,TFT LED-Backlit LCD,DDR3,SATA,Dos,Nvidia,GT 720M,4.0,meghdad
3113,lenovo,y5070,,2.39,INTEL,Core i7,4720HQ,6.0,8.0,15.6,TFT LED-backlit LCD,DDR3,SATA,Dos,Nvidia,GTX 860M,4.0,meghdad
3114,lenovo,g5030-celeron-2gb-500gb,,2.5,INTEL,Celeron,Celeron-N2830,1.0,2.0,15.6,HD LED Display with True Life,DDR3,SATA,Dos,Intel,HD 4000 Graphics,4.0,meghdad
3115,lenovo,g5030-celeron-4gb-500gb,,2.5,INTEL,Celeron,Celeron-N2830,1.0,4.0,15.6,Anti-Glare HD LED Display with True Life,DDR3,SATA,Dos,Intel,HD 4000 Graphics,4.0,meghdad
3116,lenovo,z5070,,2.5,INTEL,Core i5,,3.0,8.0,15.6,HD TN GL Flat Display,DDR3,SATA,Dos,Nvidia,GeForce 840M,4.0,meghdad
3117,lenovo,z5070,,2.5,INTEL,Core i7,4510U,4.0,8.0,15.6,HD TN GL Flat Display,DDR3,SATA,Dos,Nvidia,GeForce 840M,4.0,meghdad
3118,lenovo,s510,,2.6,INTEL,Core i3,4010U,3.0,4.0,15.6,LED BACKLIGHT,DDR3,SATA,Dos,Nvidia,GT 720M,4.0,meghdad
3119,lenovo,s510,,2.58,INTEL,Core i5,4200u,3.0,4.0,15.6,TFT LED-Backlit LCD,DDR3,SSDSATA,Dos,Nvidia,GT 720M,4.0,meghdad
3120,lenovo,e4070,,2.1,INTEL,Core i5,4210U,3.0,8.0,14.0,TFT LED-backlit LCD,DDR3,SATA,Dos,AMD,R5 M235,4.0,meghdad
3121,lenovo,e4070,,2.1,INTEL,Core i7,4510U,4.0,8.0,14.0,TFT LED-backlit LCD,DDR3,SSHDSATA,Dos,AMD,R5 M235,4.0,meghdad
3122,lenovo,e4070,,2.1,INTEL,Core i5,4210U,3.0,8.0,14.0,TFT LED-backlit LCD,DDR3,SSHDSATA,Dos,AMD,R5 M235,4.0,meghdad
3123,lenovo,e4070,,2.1,INTEL,Core i3,4005U,3.0,4.0,14.0,TFT LED-backlit LCD,DDR3,SATA,Dos,AMD,R5 M230,4.0,meghdad
3124,lenovo,ideapad-z5075-a10-8gb-1tb,,2.5,AMD,,A10-7300,4.0,8.0,15.6,TFT LED-backlit LCD,DDR3,SATA,Dos,AMD,R6 M255,4.0,meghdad
3125,lenovo,ideapad-z5075-a6-8gb-1tb,,2.5,AMD,,A6-7000,1.0,8.0,15.6,TFT LED-backlit LCD,DDR3,SATA,Dos,AMD,R6 M255,4.0,meghdad
3126,lenovo,e5070,,2.5,INTEL,Core i3,4005U,3.0,4.0,15.6,TFT LED-backlit LCD,DDR3,SATA,Dos,AMD, R5 M230 ,4.0,meghdad
3127,lenovo,z5070,,2.5,INTEL,Core i7,4510U,4.0,6.0,15.6,TFT LED-backlit LCD FULL HD,DDR3,SATA,Dos,Nvidia,GeForce 840M,4.0,meghdad
3128,lenovo,thinkpad-edge-e531,,2.45,INTEL,Core i7,3615QM,6.0,6.0,15.6,TFT LED-Backlit LCD,DDR3,SATA,Dos,Nvidia,GT 740M,6.0,meghdad
3129,lenovo,flex2,,2.3,INTEL,Core i5,4210u,3.0,8.0,15.6,IPS LCD,DDR3,SATA,Dos,Nvidia,GT 840M,4.0,meghdad
3130,lenovo,g5030-n3540-2gb-500gb,,2.5,INTEL,Pentium,Pentium-N3540,1.0,2.0,15.6,Anti-Glare HD LED Display with True Life,DDR3,SATA,Dos,Intel,HD Graphics,4.0,meghdad
3131,lenovo,flex2,,2.3,INTEL,Core i5,4210U,3.0,6.0,15.6,IPS LCD,DDR3,SATA,Dos,Nvidia,GT 840M,4.0,meghdad
3132,lenovo,z5070,,2.5,INTEL,Core i5,,3.0,8.0,15.6,TFT LED-backlit LCD FULL HD,DDR3,SATA,Dos,Nvidia,GT 840M,4.0,meghdad
3133,lenovo,thinkpad-edge-e440,,2.2,INTEL,Core i5,4300M,3.0,6.0,14.0,TFT LED-backlit LCD,DDR3,SATA,Dos,Nvidia,GT 740M,6.0,meghdad
3134,lenovo,g5045-6010-4gb-500gb-1,,2.5,AMD,,E2-6010,1.0,4.0,15.6,"Delivers bright, crisp visuals Display",DDR3,SATA,Dos,AMD,R5 M230,4.0,meghdad
3135,lenovo,z5070,,2.5,INTEL,Core i5,4210U,3.0,6.0,15.6,TFT LED-backlit LCD FULL HD,DDR3,SATA,Dos,Nvidia,GeForce 820M,4.0,meghdad
3136,lenovo,g5030-n3540-4gb-500gb,,2.5,INTEL,Pentium,Pentium-N3540,1.0,4.0,15.6,Anti-Glare HD LED Display with True Life,DDR3,SATA,Dos,Intel,HD Graphics,4.0,meghdad
3137,lenovo,e540,,2.43,INTEL,Core i7,4702MQ,6.0,6.0,15.6,LED BACKLIGHT,DDR3,SATA,Dos,Nvidia,GT 740M ,6.0,meghdad
3138,lenovo,g5045-6010-6gb-1tb,,2.5,AMD,,E2-6010,1.0,4.0,15.6,"Delivers bright, crisp visuals Display",DDR3,SATA,Dos,AMD,R5 M230,4.0,meghdad
3139,lenovo,y5070,,2.39,INTEL,Core i7,4720HQ,6.0,16.0,15.6,TFT LED-backlit LCD Full HD,DDR3,SATA,Dos,Nvidia,GTX 960M,4.0,meghdad
3140,lenovo,ideapad-z5075-a6-8gb-1tb,,2.5,AMD,,A6-7000,1.0,8.0,15.6,TFT LED-backlit LCD,DDR3,SATA,Dos,AMD,R6 M255,4.0,meghdad
3141,lenovo,thinkpad-e550,,2.36,INTEL,Core i5,5200U,3.0,6.0,15.6,LED BACKLIGHT,DDR3,SATA,Dos,AMD,R7 M265,6.0,meghdad
3142,lenovo,z5070,,2.5,INTEL,Core i7,4510U,4.0,8.0,15.6,TFT LED-backlit LCD,DDR3,SSDSATA,Dos,Nvidia,GeForce 840M,4.0,meghdad
3143,lenovo,z5070,,2.5,INTEL,Core i5,,3.0,8.0,15.6,TFT LED-backlit LCD,DDR3,SATA,Dos,Nvidia,GT 840M,4.0,meghdad
3144,lenovo,g5045-6410-4gb-500gb,,2.5,AMD,,A8-6410,2.0,4.0,15.6,TFT LED-backlit LCD,DDR3,SATA,Dos,AMD,R5 Graphics,4.0,meghdad
3145,lenovo,flex2,,2.3,INTEL,Core i3,4030U,3.0,4.0,15.6,IPS LCD,DDR3,SSDSATA,Windows 8,Intel,HD Graphics 4400,4.0,meghdad
3146,lenovo,y5070,,2.39,INTEL,Core i7,4720HQ,6.0,8.0,15.6,TFT LED-backlit LCD,DDR3,SSDSATA,Dos,Nvidia,GTX 960M,4.0,meghdad
3147,lenovo,ideapad-l3,,2.2,INTEL,Core i7,10510U,,12.0,15.6,,DDR4,HDD,Dos,Nvidia,MX130,3.0,meghdad
3148,lenovo,thinkpad-e595,,2.1,AMD,Ryzen 7,3700U,4.0,8.0,15.6,IPS,DDR4,HDD,Dos,AMD,AMD VEGA 10,3.0,meghdad
3149,lenovo,thinkpad-e595,,2.1,AMD,Ryzen 7,3700U,4.0,16.0,15.6,IPS,DDR4,SSDHDD,Dos,AMD,AMD VEGA 10,3.0,meghdad
3150,lenovo,thinkpad-e595,,2.1,AMD,Ryzen 7,3700U,4.0,16.0,15.6,IPS,DDR4,SSDHDD,Dos,AMD,AMD VEGA 10,3.0,meghdad
3151,lenovo,ideapad-l3,,2.2,INTEL,Core i5,10210U,6.0,4.0,15.6,TFT LED-backlit LCD,DDR4,HDD,Dos,Nvidia,MX130,3.0,meghdad
3152,lenovo,ideapad-3-6405u-8gb-1tb-128gb-ssd-2gb-hd,,1.75,INTEL,Pentium,Pentium Gold 6405U,,8.0,15.6,TN | 220nits | Anti-glare,DDR4,SSDHDD,Dos,Nvidia,MX130,2.0,meghdad
3153,lenovo,thinkpad-e15,,1.9,INTEL,Core i5,10210U,6.0,8.0,15.6,,DDR4,SSDHDD,Dos,AMD,AMD Radeon RX640,3.0,meghdad
3154,lenovo,ideapad-130,,2.1,INTEL,Core i3,8130U,,8.0,15.6,TFT LED-backlit LCD,DDR4,HDD,Dos,Nvidia,MX110,2.0,meghdad
3155,lenovo,legion-5,,2.39,INTEL,Core i7,10750H,12.0,16.0,15.6,,DDR4,SSDHDD,,Nvidia,GeForce GTX 1650,3.0,meghdad
3156,lenovo,legion-5,,2.39,INTEL,Core i7,10750H,12.0,16.0,15.6,,DDR4,SSDHDD,,Nvidia,RTX 2060,3.0,meghdad
3157,lenovo,legion-y540,,2.3,INTEL,Core i7,9750H,12.0,32.0,15.6,IPS LED-backlit LCD,DDR4,SSDHDD,Dos,Nvidia,RTX 2060,3.0,meghdad
3158,lenovo,legion-y540,,2.3,INTEL,Core i5,9300H,,16.0,15.6,IPS LED-backlit LCD,DDR4,SSDHDD,Dos,Nvidia,GTX 1650,3.0,meghdad
3159,lenovo,legion-5,,2.39,AMD,Ryzen 7,4800H,,16.0,15.6,,DDR4,SSDHDD,Windows 10,Nvidia,GeForce GTX 1660 Ti,,meghdad
