,Product_id,manufacturer,Device Type,Status,Warranty_id,Warranty_price,org_price,last_month_price,Color,Weight,Processor Manufacturer,Processor Series,Processor Model,Processor Cache Memory,RAM Memory,Screen Size,Screen Type,Optical Drive,RAM Type,Internal Memory Type,Operating System,Graphics Card Manufacturer,Graphics Card Model,Battery Cell Count
708,6437269,لنوو,لپ تاپ,out_of_stock,,,,0,,2.2,AMD,Ryzen5,4600H,8,8,15.6,,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeforceGTX1650,سه سلولی
709,6437271,لنوو,لپ تاپ,out_of_stock,,,,0,,2.2,AMD,Ryzen5,4600H,8,8,15.6,,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeforceGTX1650,سه سلولی
710,6437275,لنوو,لپ تاپ,out_of_stock,,,,0,,2.2,AMD,Ryzen5,4600H,8,16,15.6,,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeforceGTX1650,سه سلولی
711,11271929,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.8,Intel,Corei7,1165G7,12,8,15.6,OLED,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceMX350,لیتیومی
712,11161362,ایسوس,لپ تاپ,out_of_stock,,,,0,,2.5,Intel,Corei7,7700HQ,6,16,15.6,TFT LED-backlit LCD,DVD-RW,DDR4,هیبریدی,Microsoft Windows 10,NVIDIA,GeForceGTX950M,لیتیوم-یونی
713,6378261,ایسوس,لپ تاپ,out_of_stock,,,,0,,2.21,Intel,Corei7,9750H,12,16,15.6,IPS LED-backlit LCD,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,Microsoft Windows 10,NVIDIA,GeForceGTX1650,
714,11233678,اچ‌ پی,لپ تاپ,out_of_stock,,,,0,,2.29,Intel,Corei5,12500H,18,20,15.6,TN,بدون درایو نوری,DDR4,SSD,Microsoft Windows 11,NVIDIA,GeForceRTX3050,
715,6493800,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.62,Intel,Corei7,1165G7,12,16,14.0,IPS level panel,بدون درایو نوری,,SSD,Microsoft Windows 10,NVIDIA,"GeForceMX450GDDR6,IntelIrisXeGraphics",چهار سلولی
716,6494399,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.22,AMD,Ryzen7,5700U,8,16,14.0,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,RadeonR7Graphics,چهار سلولی
717,6496350,اچ‌ پی,لپ تاپ,out_of_stock,,,,0,,1.8,Intel,Corei5,1135G7,8,8,15.6,WLED Backlit,بدون درایو نوری,DDR4,SSD,Microsoft Windows 10,Intel,IrisXeGraphics,سه سلولی
718,6496631,اچ‌ پی,لپ تاپ,out_of_stock,,,,0,,1.7,Intel,Corei7,10510U,8,16,15.6,,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForceMX250GDDR5,سه سلولی
719,6187574,لنوو,لپ تاپ,out_of_stock,,,,0,,1.7,Intel,Corei5,1135G7,8,4,15.6,,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,Intel,IntegratedUHDGraphics,
720,11623906,ایسوس,لپ تاپ,out_of_stock,,,,347000000,,2.2,Intel,Corei5,11400H,12,8,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX2050,لیتیوم-یونی
721,11980918,ایسوس,لپ تاپ,out_of_stock,,,,0,,2.3,Intel,Corei5,11400H,12,16,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX3050TiGDDR6,لیتیوم یونی
722,11999543,لنوو,لپ تاپ,out_of_stock,,,,0,,1.65,AMD,Ryzen7,5700U,8,12,15.6,TN,,DDR4,هارددیسک,Microsoft Windows 11,AMD,RadeonRXVega8,
723,12925359,مایکروسافت,لپ تاپ,out_of_stock,,,,0,,1.252,Intel,Corei7,1255U,12,32,13.5,PixelSense Display,بدون درایو نوری,DDR5,SSD,Microsoft Windows 11,Intel,IrisXe,
724,12506980,لنوو,لپ تاپ,out_of_stock,,,,0,,1.65,Intel,Corei5,1155G7,8,8,15.6,TN,بدون درایو نوری,DDR4,SSD,Microsoft Windows 11,NVIDIA,GeForceMX350,لیتیوم پلیمری
725,9789144,ایسر,لپ تاپ,out_of_stock,,,,0,,1.8,Intel,Corei5,1235U,12,8,15.6,,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceMX550,لیتیوم-یونی
726,12536711,اچ‌ پی,لپ تاپ,out_of_stock,,,,359000000,,2.2,Intel,Corei5,12500H,18,16,15.6,TN,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceGTX1650,
727,12466754,لنوو,لپ تاپ,out_of_stock,,,,247480000,,1.65,Intel,Corei5,1155G7,8,16,15.6,TN,بدون درایو نوری,DDR4,هارددیسک,Microsoft Windows 11,NVIDIA,GeForceMX350,لیتیوم پلیمری
728,12161946,لنوو,لپ تاپ,out_of_stock,,,,977500000,,2.25,Intel,Corei7,13700HX,30,32,16.0,IPS level panel,بدون درایو نوری,DDR5,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX4070,
729,12161769,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.7,Intel,Corei7,1165G7,12,16,15.6,IPS level panel,بدون درایو نوری,DDR4,هیبریدی,Microsoft Windows 11,Intel,IrisXe,لیتیوم یونی
730,12574448,لنوو,لپ تاپ,out_of_stock,,,,480000000,,1.95,AMD,Ryzen7,6800HS,16,16,16.0,IPS level panel,بدون درایو نوری,LPDDR5,SSD,بدون سیستم عامل,NVIDIA,GeforceRTX3050GDDR6,چهار سلولی
731,12588061,ایسوس,لپ تاپ,out_of_stock,,,,318200000,,1.8,Intel,Corei7,1165G7,12,24,15.6,TFT LCD,بدون درایو نوری,DDR4,SSD,Microsoft Windows 11,NVIDIA,GeForceMX330,
732,8519578,لنوو,لپ تاپ,out_of_stock,,,,0,,2.5,Intel,Corei9,11980HK,24,32,16.0,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX3080,
733,10328817,ایسوس,لپ تاپ,out_of_stock,,,,0,,2.3,Intel,Corei7,11800H,24,16,15.6,,بدون درایو نوری,DDR4,SSD,Microsoft Windows,NVIDIA,GeForce RTX 3060,لیتیوم-یونی
734,9979611,لنوو,لپ تاپ,out_of_stock,,,,239000000,,1.65,Intel,Corei5,1155G7,8,12,15.6,TN,بدون درایو نوری,DDR4,هیبریدی,بدون سیستم عامل,NVIDIA,GeForceMX350,
735,10002218,ایسوس,لپ تاپ,out_of_stock,,,,0,,2.2,AMD,Ryzen7,6800H,20,16,15.6,WV,بدون درایو نوری,DDR5,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX3050TiGDDR6,چهار سلولی
736,10791416,ایسوس,لپ تاپ,out_of_stock,,,,0,,2.6,Intel,Corei5,11400H,12,16,17.3,,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX3060,
737,10793686,ایسوس,لپ تاپ,out_of_stock,,,,245000000,,1.8,Intel,Corei5,1135G7,8,8,15.6,TN,بدون درایو نوری,DDR4,هارددیسک,بدون سیستم عامل,Intel,IrisXe,
738,11218048,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.5,Intel,Corei3,1115G4,6,8,14.0,IPS level panel,بدون درایو نوری,DDR4,SSD,Microsoft Windows 11,Intel,UHD,لیتیوم یونی
739,10893766,ایسر,لپ تاپ,out_of_stock,,,,522500000,,2.49,Intel,Corei7,12700H,24,16,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX3050Ti,
740,2672579,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.6,Intel,Corei5,8265U,6,8,14.0,,بدون درایو نوری,DDR4,هارددیسک,بدون سیستم عامل,NVIDIA,NVIDIAGeForceMX110,دو سلولی
741,2677525,لنوو,لپ تاپ,out_of_stock,,,,0,,2.2,Intel,Corei7,8550U,8,12,15.6,TFT LED-backlit LCD,DVD-RW,DDR4,هارددیسک,Microsoft Windows 10,NVIDIA,GEFORCEMX150GDDR5,دو سلولی
742,2670715,لنوو,لپ تاپ,out_of_stock,,,,0,,2.2,Intel,Corei5,9300H,8,8,15.6,TFT LED-backlit LCD,بدون درایو نوری,DDR4,SSD,Microsoft Windows 10,NVIDIA,GeForceGTX1650GDDR5,سه سلولی
743,2683123,ایسوس,لپ تاپ,out_of_stock,,,,0,,2.39,Intel,Corei7,9750H,12,32,15.6,IPS LED-backlit LCD,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,NVIDIAGeforceGTX1650,چهار سلولی
744,2682511,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.5,Intel,Corei7,8565U,8,8,14.0,TFT LED-backlit LCD,بدون درایو نوری,DDR4,SSD,Microsoft Windows 10,NVIDIA,GeforceMX230,سه سلولی
745,10391460,لنوو,لپ تاپ,out_of_stock,,,,0,,2.4,Intel,Corei7,12700H,24,16,15.6,IPS level panel,,DDR5,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX3060GDDR6,چهار سلولی
746,10411618,لنوو,لپ تاپ,out_of_stock,,,,0,,1.64,Intel,Corei7,1255U,12,16,14.0,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceMX5502GBGDDR6,
747,5666644,اچ‌ پی,لپ تاپ,out_of_stock,,,,0,,1.9,Intel,Corei7,1065G7,8,16,15.6,WLED Backlit,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForceMX250GDDR5,سه سلولی
748,5666740,اچ‌ پی,لپ تاپ,out_of_stock,,,,0,,1.9,Intel,Corei7,1065G7,8,16,15.6,WLED Backlit,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForceMX250GDDR5,سه سلولی
749,5666742,اچ‌ پی,لپ تاپ,out_of_stock,,,,0,,1.9,Intel,Corei7,1065G7,8,8,15.6,WLED Backlit,بدون درایو نوری,DDR4,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceMX250GDDR5,سه سلولی
750,5695304,اچ‌ پی,لپ تاپ,out_of_stock,,,,0,,2.2,Intel,Corei5,10300H,8,8,15.6,IPS LED-backlit LCD,بدون درایو نوری,DDR4,SSD,Microsoft Windows 10,NVIDIA,GTX1650,سه سلولی
751,5695558,اچ‌ پی,لپ تاپ,out_of_stock,,,,0,,2.3,Intel,Corei7,10750H,12,32,15.6,,بدون درایو نوری,DDR4,SSD,Microsoft Windows 10,NVIDIA,GeForceGTX1650tiGDDR6,شش سلولی
752,5695586,اچ‌ پی,لپ تاپ,out_of_stock,,,,0,,2.3,Intel,Corei7,10750H,12,16,15.6,,بدون درایو نوری,DDR4,SSD,Microsoft Windows 10,NVIDIA,GeForceGTX1650tiGDDR6,شش سلولی
753,5605433,اچ‌ پی,لپ تاپ,out_of_stock,,,,0,,2.04,Intel,Corei5,10210U,6,4,15.6,,DVD-RW,DDR4,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceMX130,سه سلولی
754,5716816,لنوو,لپ تاپ,out_of_stock,,,,0,,2.2,Intel,Corei3,10110U,4,8,15.6,TFT LED-backlit LCD,DVD-RW,DDR4,هارددیسک,بدون سیستم عامل,Intel,IntelUHDGraphic,سه سلولی
755,5679570,اچ‌ پی,لپ تاپ,out_of_stock,,,,0,,2.3,Intel,Corei7,10750H,12,16,15.6,IPS LED-backlit LCD,بدون درایو نوری,DDR4,SSD,Microsoft Windows 10,NVIDIA,GeForceRTX2070SuperWithMax-QDesignGDDR6,شش سلولی
756,5679717,اچ‌ پی,لپ تاپ,out_of_stock,,,,0,,2.2,AMD,Ryzen7,4800H,8,32,15.6,IPS LED-backlit LCD,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForceGTX1660TiwithMax-QdesignGDDR6,سه سلولی
757,5679719,اچ‌ پی,لپ تاپ,out_of_stock,,,,0,,2.2,AMD,Ryzen7,4800H,8,32,15.6,IPS LED-backlit LCD,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForceGTX1660TiwithMax-QdesignGDDR6,سه سلولی
758,5714125,اچ‌ پی,لپ تاپ,out_of_stock,,,,0,,1.7,Intel,Corei3,1005G1,4,8,15.6,WLED Backlit,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForceMX130GDDR5,سه سلولی
759,5804183,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.8,Intel,Corei7,1165G7,12,16,15.6,,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForceMX350GDDR5,سه سلولی
760,6208,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.25,Intel,DualCore,Atom N2800,یک,2,10.0,TFT LED-backlit LCD,بدون درایو نوری,DDR3,,Microsoft Windows 7,Intel,GMA3600,شش سلولی
761,6220,سونی,لپ تاپ,out_of_stock,,,,0,,1.99,Intel,Corei5,2450M,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,Microsoft Windows 7,AMD,RadeonHD6470MDDR3VRAMWithIntelHDGraphics3000,شش سلولی
762,6250,لنوو,لپ تاپ,out_of_stock,,,,0,,2.35,Intel,Celeron,B820,2,2,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDGraphics,شش سلولی
763,6305,ایسوس,لپ تاپ,out_of_stock,,,,0,,2.4,Intel,Corei7,3610QM 2.3GHz,6,6,14.0,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT630MDDR3,شش سلولی
764,6311,ایسر,لپ تاپ,out_of_stock,,,,0,,2.6,Intel,Corei5,3210M 2.5GHz,سه,8,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT630MDDR3,شش سلولی
765,6333,ایسر,لپ تاپ,out_of_stock,,,,0,,2.6,Intel,Corei5,3210M 2.5GHz,سه,8,14.0,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT630MDDR3,شش سلولی
766,6349,لنوو,لپ تاپ,out_of_stock,,,,0,,2.35,Intel,DualCore,B950,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDGraphics,شش سلولی
767,6352,توشیبا,لپ تاپ,out_of_stock,,,,0,,2.3,Intel,Corei5,2450M 2.5 GHz,سه,4,15.6,TFT LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,AMD,RadeonHD7610M,شش سلولی
768,6405,اچ‌ پی,لپ تاپ,out_of_stock,,,,0,,1.6,Intel,DualCore,A6-3420M,4,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,Microsoft Windows 7,AMD,RadeonHD6520GDiscrete-ClassGraphics,شش سلولی
769,6408,ایسر,لپ تاپ,out_of_stock,,,,0,,2.7,Intel,Corei5,2450M 2.5 GHz,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT630MDDR3,شش سلولی
770,6409,ایسر,لپ تاپ,out_of_stock,,,,0,,2.1,Intel,Corei5,2450M 2.5 GHz,سه,8,14.1,TFT LED-backlit LCD,DVD-RW,DDR3,,Microsoft Windows 7,NVIDIA,GeForceGT540MDDR3VRAM,شش سلولی
771,6410,ایسوس,لپ تاپ,out_of_stock,,,,0,,2.6,Intel,DualCore,B970,2,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,AMD,RadeonHD7470M,چهار سلولی
772,6411,سونی,لپ تاپ,out_of_stock,,,,0,,2.7,Intel,Corei3,2370M,سه,4,15.4,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,Microsoft Windows 7,AMD,RadeonHD7650M,شش سلولی
773,6427,فوجیتسو,لپ تاپ,out_of_stock,,,,0,,2.4,Intel,Corei7,3612QM,6,6,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT620M,شش سلولی
774,6447,اچ‌ پی,لپ تاپ,out_of_stock,,,,0,,2.48,Intel,Corei5,3210M,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,AMD,RadeonHD7670M,شش سلولی
775,34860,ایسر,لپ تاپ,out_of_stock,,,,0,,2.5,Intel,Corei3,3110M,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForce710M,شش سلولی
776,34896,ایسوس,لپ تاپ,out_of_stock,,,,0,,2.1,Intel,Corei5,4210U,سه,4,14.0,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT820M,چهار سلولی
777,35132,ایسوس,لپ تاپ,out_of_stock,,,,0,,2.1,Intel,Corei5,4200U,4,8,14.0,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT820M,چهار سلولی
778,35257,ایسوس,لپ تاپ,out_of_stock,,,,0,,2.2,Intel,Corei5,4200U,سه,6,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT840M,چهار سلولی
779,35379,دل,لپ تاپ,out_of_stock,,,,0,,2.25,Intel,Corei3,3217U,سه,2,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDGraphics4000,شش سلولی
780,3867,دل,لپ تاپ,out_of_stock,,,,0,,2.36,Intel,Corei3,370M,سه,سه,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDGraphics,شش سلولی
781,3883,ایسوس,لپ تاپ,out_of_stock,,,,0,,2.44,Intel,Corei7,2630QM 2.0 GHZ,6,8,14.1,TFT LED-backlit LCD,Blu-ray,DDR3,هارددیسک,Microsoft Windows 7,NVIDIA,GeForceGT540MGPU,شش سلولی
782,33588,سونی,لپ تاپ,out_of_stock,,,,0,,1.31,Intel,Corei5,4200U,سه,4,13.0,IPS LED-backlit LCD,بدون درایو نوری,DDR3,SSD,Microsoft Windows 8,Intel,HDGraphics4400,چهار سلولی
783,34225,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.24,Intel,Pentium,N3530,2,2,11.0,TFT LED-backlit LCD,بدون درایو نوری,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDGraphics,سه سلولی
784,34239,ام اس آی,لپ تاپ,out_of_stock,,,,0,,1.3,AMD,DualCore,E1-2100,یک,4,11.0,TFT LED-backlit LCD,بدون درایو نوری,DDR3,هارددیسک,بدون سیستم عامل,AMD,RadeonHD8210,سه سلولی
785,5797,ایسوس,لپ تاپ,out_of_stock,,,,0,,2.6,AMD,DualCore,E450,یک,4,14.1,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,AMD,RadeonHD7470MDDR3VRAM,شش سلولی
786,5837,لنوو,لپ تاپ,out_of_stock,,,,0,,2.5,Intel,Corei3,2330M,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDGraphics3000,شش سلولی
787,5901,ایسوس,لپ تاپ,out_of_stock,,,,0,,2.6,Intel,Corei3,2350M,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDGraphics3000,چهار سلولی
788,5908,ایسوس,لپ تاپ,out_of_stock,,,,0,,,Intel,Pentium,B960,2,4,14.0,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT610MGPU,شش سلولی
