,Product_id,manufacturer,Device Type,Status,Warranty_id,Warranty_price,org_price,last_month_price,Color,Weight,Processor Manufacturer,Processor Series,Processor Model,Processor Cache Memory,RAM Memory,Screen Size,Screen Type,Optical Drive,RAM Type,Internal Memory Type,Operating System,Graphics Card Manufacturer,Graphics Card Model,Battery Cell Count
926,1742146,ایسوس,VivoBook,out_of_stock,,,,0,,2.0,AMD,Carrizo,E1-6010,یک,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,,AMD,RadeonR2Graphics,سه سلولی
927,1909530,لنوو,Ideapad,out_of_stock,,,,0,,2.2,Intel,Corei5,7200U,سه,8,15.6,TFT LED-backlit LCD,DVD-RW,DDR4,هارددیسک,,AMD,RADEON,دو سلولی
928,1909882,ایسوس,Strix,out_of_stock,,,,0,,2.39,Intel,Corei7,9750H,12,8,15.6,IPS LED-backlit LCD,بدون درایو نوری,DDR4,هارددیسک,بدون سیستم عامل,NVIDIA,NVIDIAGeforceGTX1650,چهار سلولی
929,1890679,ایسوس,Zenbook,out_of_stock,,,,0,,1.5,Intel,Corei7,8565U,8,16,14.0,IPS LED-backlit LCD,بدون درایو نوری,DDR3,SSD,Microsoft Windows 10,Intel,INTELUHD620,سه سلولی
930,1891829,لنوو,Yoga,out_of_stock,,,,0,,1.3,Intel,Corei5,8250U,6,8,13.3,IPS LED-backlit LCD,بدون درایو نوری,DDR4,SSD,Microsoft Windows 10,Intel,UHDGraphics620,چهار سلولی
931,1906453,لنوو,Ideapad,out_of_stock,,,,0,,2.2,Intel,Celeron,N3060,2,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDGraphics400,سه سلولی
932,1903256,ایسر,Predator,out_of_stock,,,,0,,3.7,Intel,Corei7,7700HQ,6,16,15.6,IPS LED-backlit LCD,DVD-RW,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GTX1070,هشت سلولی
933,1743571,لنوو,ThinkPad,out_of_stock,,,,0,,2.1,Intel,Corei5,8265U,6,8,15.6,TFT LED-backlit LCD,بدون درایو نوری,DDR4,هارددیسک,بدون سیستم عامل,AMD,AMDRadeonRX550,سه سلولی
934,1813378,ایسوس,VivoBook,out_of_stock,,,,0,,1.4,Intel,Corei7,8565U,8,12,14.0,TFT LED-backlit LCD,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForceMX150DDR5,سه سلولی
935,1840016,ایسوس,VivoBook,out_of_stock,,,,0,,1.5,Intel,Corei7,8550U,8,16,14.0,TFT LED-backlit LCD,بدون درایو نوری,DDR4,هارددیسک,Microsoft Windows 10,NVIDIA,GeForceMX130,سه سلولی
936,1831863,ایسوس,VivoBook,out_of_stock,,,,0,,1.5,Intel,Corei3,7020U,سه,4,14.0,TFT LED-backlit LCD,بدون درایو نوری,DDR3,SSD,بدون سیستم عامل,Intel,INTELUHD620,سه سلولی
937,1788023,ایسوس,AP,out_of_stock,,,,0,,2.2,AMD,BristolRidge,A12-9720P,2,8,15.6,TFT LED-backlit LCD,DVD-RW,DDR4,هارددیسک,بدون سیستم عامل,ATI,R8M435DX,دو سلولی
938,1788325,لنوو,Ideapad,out_of_stock,,,,0,,2.2,Intel,Celeron,N4000,4,8,15.6,TFT LED-backlit LCD,DVD-RW,DDR4,هارددیسک,,Intel,UHDGraphics600,دو سلولی
939,1771720,ایسوس,ZenBook,out_of_stock,,,,0,,1.09,Intel,Corei5,8265U,6,8,14.0,IPS level panel,بدون درایو نوری,DDR3,SSD,Microsoft Windows 10,Intel,UHDGraphics620,چهار سلولی
940,2952155,دل,Inspiron,out_of_stock,,,,0,,2.0,Intel,Celeron,Intel® Celeron® Processor 4205U,2,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR4,هارددیسک,بدون سیستم عامل,Intel,ntel®UHDGraphics610withsharedgraphicsmemory,سه سلولی
941,2936158,لنوو,MM,out_of_stock,,,,0,,2.1,Intel,Corei3,8130U,4,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR4,هارددیسک,بدون سیستم عامل,Intel,UHD620,دو سلولی
942,3116169,ایسوس,VivoBook,out_of_stock,,,,0,,1.7,Intel,Corei5,1035G1,6,8,15.6,178°wide-view technology,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForce®MX330,دو سلولی
943,2865612,ایسوس,VivoBook,out_of_stock,,,,0,,1.8,Intel,Corei5,8265U,6,12,15.6,178°wide-view technology,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForce®MX250,سه سلولی
944,3127390,اچ‌ پی,ZBook,out_of_stock,,,,0,,2.0,Intel,Xeon,Xeon® E-2176M,12,16,15.6,IPS LED-backlit LCD,بدون درایو نوری,DDR4,SSD,Microsoft Windows 10,NVIDIA,Quadro®P1000GDDR5,شش سلولی
945,3156660,ایسر,Aspire,out_of_stock,,,,0,,2.1,Intel,Corei3,I3 8130u,,4,15.6,,بدون درایو نوری,DDR4,هارددیسک,بدون سیستم عامل,NVIDIA,GeforceMX130,
946,3143074,ایسوس,ZenBook,out_of_stock,,,,0,,1.15,Intel,Corei7,10510U,8,16,14.0,178°wide-view technology,بدون درایو نوری,DDR3,SSD,بدون سیستم عامل,NVIDIA,GeForceMX250,سه سلولی
947,3150775,ایسوس,ZenBook,out_of_stock,,,,0,,1.09,Intel,Corei7,10510U,8,16,14.0,IPS LED-backlit LCD,بدون درایو نوری,DDR3,SSD,بدون سیستم عامل,NVIDIA,GeForce®MX250,سه سلولی
948,3233389,لنوو,Ideapad,out_of_stock,,,,0,,2.1,Intel,Corei5,8250U,6,12,15.6,TFT LED-backlit LCD,DVD-RW,DDR4,هارددیسک,بدون سیستم عامل,NVIDIA,MX110,دو سلولی
949,3223453,لنوو,Ideapad,out_of_stock,,,,0,,2.1,Intel,Corei3,8130U,4,12,15.6,TFT LED-backlit LCD,DVD-RW,DDR4,هارددیسک,بدون سیستم عامل,NVIDIA,MX110,دو سلولی
950,3257937,اچ‌ پی,A,out_of_stock,,,,0,,2000.0,AMD,Ryzen7,3700U,,8,15.6,WLED Backlit,DVD-RW,DDR4,هارددیسک,Boot-Up DOS,AMD,AMDRadeonRXVega10,سه سلولی
951,3308210,دل,B,out_of_stock,,,,0,,2.4,Intel,Corei7,8750H,نه,16,15.6,IPS LED-backlit LCD,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,Microsoft Windows 10,NVIDIA,NVIDIAGTX10606GBGDDR5,چهار سلولی
952,3279576,ایسر,Aspire,out_of_stock,,,,0,,2.2,AMD,Ryzen5,3500U,4,8,15.6,TFT LED-backlit LCD,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,AMD,VEGA8,سه سلولی
953,3283797,ایسر,Nitro,out_of_stock,,,,0,,2.5,Intel,Corei7,9750H,12,24,15.6,IPS LED-backlit LCD,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,1660TI,سه سلولی
954,3374526,اچ‌ پی,ProBook,out_of_stock,,,,0,,2.0,Intel,Corei7,10510U,8,16,15.6,WLED Backlit,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForce®MX250GDDR5,سه سلولی
955,3364893,ایسوس,VivoBook,out_of_stock,,,,0,,1.8,AMD,Ryzen7,3700u,4,8,15.6,178°wide-view technology,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForce®MX230,دو سلولی
956,3373074,اچ‌ پی,Pavilion,out_of_stock,,,,0,,1.9,Intel,Corei7,1065G7,8,16,15.6,WLED Backlit,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForce®MX250GDDR5,سه سلولی
957,3373078,اچ‌ پی,Pavilion,out_of_stock,,,,0,,1.9,Intel,Corei7,1065G7,8,16,15.6,WLED Backlit,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForce®MX250GDDR5,سه سلولی
958,3373161,اچ‌ پی,C,out_of_stock,,,,0,,2.04,Intel,Corei5,10210U,6,8,15.6,WLED Backlit,DVD-RW,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForce®MX110GDDR5,سه سلولی
959,3373593,اچ‌ پی,ProBook,out_of_stock,,,,0,,2.0,Intel,Corei5,10210U,6,8,15.6,IPS LED-backlit LCD,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForce®MX130GDDR5,سه سلولی
960,35132,ایسوس,,out_of_stock,,,,0,,2.1,Intel,Corei5,4200U,4,8,14.0,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT820M,چهار سلولی
961,37158,ایسر,,out_of_stock,,,,0,,2.5,Intel,Corei3,4005U,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,Intel,IntelHD4400,شش سلولی
962,37166,ایسر,,out_of_stock,,,,0,,3.15,Intel,Corei7,4702MQ,6,16,17.0,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT750M,شش سلولی
963,37173,ایسر,,out_of_stock,,,,0,,2.0,Intel,Corei7,4500U,4,8,15.6,TFT LED-backlit LCD,بدون درایو نوری,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT750M,چهار سلولی
