,actual,Predicted
4107,1111950000,731857850.7175983
4108,1053350000,732186131.5215675
4109,1043250000,732472767.5690699
4110,1185960000,732529512.3610733
4111,1200050000,732904870.4160596
4112,1122750000,733115206.6588987
4113,1303800000,733219139.3272958
4114,1121180000,733610685.082882
4115,1110160000,733756031.7517499
4116,1078980000,733923149.5367647
4117,1152180000,734300622.9211001
4118,1171040000,734402265.0455536
4119,1252970000,734635873.0108277
4120,1157960000,734974802.1824331
4121,1133860000,735059215.30656
4122,1308140000,735350763.1829363
4123,1132210000,735636050.8948628
4124,1111700000,735729750.6457477
4125,1203910000,736061625.3053336
4126,1252470000,736289117.622822
4127,1169870000,736414073.6808296
4128,1183970000,736763647.800815
4129,1521180000,736939637.9305311
4130,1544790000,737109982.2044889
4131,1459490000,737454080.2132432
4132,1504400000,737593062.2306515
4133,1242610000,737813516.4621933
4134,1420870000,738132479.8172066
4135,1450430000,738253734.5566479
4136,1365120000,738519838.3118489
4137,1512070000,738800532.1234498
4138,1402410000,738924264.6942986
4139,1304910000,739224164.6347972
4140,1375660000,739461523.5615326
4141,1405240000,739605269.6187443
4142,1334090000,739922587.6978946
4143,1557070000,740119596.037177
4144,1394650000,740295487.9472942
4145,1429730000,740612653.2582166
4146,1328920000,740778936.3641101
4147,1019110000,740992206.2539773
4148,1369180000,741293623.393961
4149,1116640000,741443047.851142
4150,1306890000,741691888.9895416
4151,1206980000,741966413.6202406
4152,1353030000,742114220.7921982
4153,1352250000,742390880.57869
4154,1277420000,742633251.2863697
4155,1412350000,742793271.2883661
4156,1254600000,743086050.3740544
4157,1249990000,743297145.1972284
4158,1266730000,743479563.7648224
4159,1106870000,743775275.365369
4160,1491200000,743961279.0423524
4161,1242050000,744171281.8222421
4162,1288450000,744457695.2349769
4163,1247090000,744628441.8928133
4164,1394200000,744865873.0755289
4165,1455720000,745133720.942321
4166,1468010000,745300590.0573629
4167,1455550000,745560571.8169644
4168,1509880000,745804822.6946876
4169,1338090000,745978601.4324247
4170,1406280000,746252900.5609177
4171,1305570000,746473158.4125928
4172,1528260000,746662243.4383377
4173,1387440000,746941066.1518116
4174,1388800000,747141124.5801778
4175,1443650000,747350336.3893639
4176,1395210000,747624193.6885245
4177,1240730000,747810915.6979841
4178,1348540000,748041062.3899775
4179,1352080000,748302375.836607
4180,1500610000,748484167.5051543
4181,1576050000,748732350.2408909
4182,1396820000,748976549.4864309
4183,1320600000,749161736.3256129
4184,1340420000,749422261.416042
4185,1391190000,749648240.2214621
4186,1392980000,749843637.5645932
4187,1476800000,750109310.2995325
4188,1411570000,750319233.4130573
4189,1354720000,750529136.3283252
4190,1346460000,750792670.6418232
4191,1427890000,750991236.9118541
4192,1628030000,751216957.6341509
4193,1266680000,751472245.1835072
4194,1512440000,751665594.5508252
4195,1469250000,751905566.6233308
4196,1413040000,752148601.5950693
4197,1175700000,752343094.3267992
4198,1300190000,752593462.5938506
4199,1226240000,752822800.6307896
4200,1424770000,753023893.9018869
4201,1348770000,753279434.5148479
4202,1182610000,753496158.1462274
4203,1161340000,753707563.2831979
4204,1391480000,753962738.1455928
4205,1522040000,754169989.4362049
4206,1299420000,754393224.307935
4207,1249160000,754643172.8512373
4208,1482820000,754845382.0297872
4209,1151080000,755079752.0940728
4210,1111370000,755321055.9689413
4211,1309830000,755523033.0438877
4212,1301360000,755765996.7746245
4213,1370480000,755997110.5181442
4214,1268250000,756203172.0374842
4215,1357030000,756450984.9524456
4216,1334020000,756672295.2698768
4217,1225540000,756885573.2118938
4218,1164510000,757134068.3161572
4219,1298590000,757347612.9311082
4220,1280910000,757569644.9380553
4221,1210240000,757814999.5994495
4222,1282390000,758023932.0152373
4223,1172430000,758254572.5638336
4224,1199010000,758493930.8185691
4225,1407550000,758701851.6592
4226,1216900000,758939483.9157003
4227,1581230000,759171342.7140658
4228,1308930000,759381627.9811931
4229,1266560000,759623606.3806332
4230,1340340000,759847925.2198045
4231,1317540000,760063167.8769356
4232,1305680000,760306389.360351
4233,1382650000,760524435.0452199
4234,1266340000,760746083.8455675
4235,1324980000,760987574.780436
4236,1255530000,761201557.5176833
4237,1333510000,761429793.6020247
4238,1381480000,761667209.2333875
4239,1299020000,761879796.0844039
4240,1332760000,762113642.295983
4241,1237450000,762345602.1318662
4242,1222090000,762559405.4983938
4243,1289400000,762797023.7116934
4244,1310030000,763023243.0917397
4245,1329710000,763240375.3873718
4246,1381300000,763479479.6198748
4247,1141350000,763700697.3427101
4248,1295210000,763922461.4558201
4249,1390200000,764160762.5383956
4250,1369670000,764378499.6756792
4251,1226370000,764605253.6449937
4252,1212840000,764840855.1164424
4253,1265530000,765057065.4137911
4254,1283950000,765288265.3739724
4255,1432760000,765519947.6044991
4256,1194990000,765736631.9018923
4257,1322630000,765971026.1034886
4258,1325060000,766198381.9525162
4259,1190780000,766417237.2389773
4260,1422910000,766653160.8600168
4261,1357560000,766876575.8973111
4262,1273510000,767098735.797105
4263,1177360000,767334444.4257888
4264,1260150000,767554942.3757445
4265,1332030000,767780843.7646493
4266,1409770000,768014823.6416067
4267,1272950000,768233818.7066178
4268,1345850000,768463203.5140121
4269,1144790000,768694407.505984
4270,1170740000,768913416.6941857
4271,1254260000,769145453.5836632
4272,1374690000,769373430.3536547
4273,1245400000,769593799.9540055
4274,1150790000,769827291.5596634
4275,1288780000,770052197.4620228
4276,1159810000,770274889.3592224
4277,1418250000,770508519.7791392
4278,1324030000,770731024.4333375
4279,1370420000,770956492.5468918
4280,1405090000,771189067.864226
4281,1342000000,771410181.5170833
4282,1446570000,771638349.7170628
4283,1380470000,771868990.7630354
4284,1125300000,772089851.9449958
4285,1067590000,772320186.0037642
4286,1441640000,772548445.3531034
4287,1442290000,772770109.9235233
4288,1178130000,773001760.6398035
4289,1242930000,773227652.0279882
4290,1550370000,773450919.9058102
4291,1263710000,773682904.775947
4292,1390270000,773906849.5701852
4293,1373440000,774132154.9084958
4294,1296760000,774363542.6783242
4295,1066830000,774586251.8525162
4296,1267650000,774813628.5958005
4297,1110730000,775043694.4852237
4298,1384190000,775266013.6466453
4299,1186110000,775495134.0599735
4300,1359920000,775723462.0925189
4301,1405950000,775946210.4363663
4302,1327030000,776176481.8544883
4303,1340690000,776403002.4780649
4304,1368620000,776626834.1701595
4305,1314400000,776857530.7911975
4306,1204760000,777082494.4676604
4307,1256180000,777307803.9188131
4308,1328910000,777538206.9827456
4309,1258560000,777762105.4125364
4310,1358140000,777988987.9432093
4311,1250370000,778218509.1438704
4312,1234190000,778441963.5459163
4313,1372980000,778670232.0935159
4314,1340670000,778898500.7598668
4315,1154060000,779122140.1651345
4316,1395280000,779351388.9304127
4317,1526070000,779578291.9322118
4318,1062010000,779802643.6281011
4319,1248120000,780032342.4564599
4320,1350470000,780258015.1832991
4321,1335400000,780483424.8909059
4322,1319670000,780713024.6712794
4323,1272220000,780937800.0710441
4324,1061590000,781164392.3494965
4325,1482550000,781393421.9969844
4326,1151040000,781617751.1316688
4327,1324260000,781845432.3888798
4328,1288660000,782073571.5872903
4329,1234040000,782297932.5927014
4330,1331120000,782526431.4560667
4331,1280730000,782753549.2802367
4332,1350480000,782978361.7465954
4333,1324660000,783207295.6737934
4334,1451830000,783433452.2031008
4335,1522700000,783659011.1692189
4336,1393490000,783887964.878799
