Processor Manufacturer,Processor Series,Processor Model,RAM Type,RAM Memory,Internal Memory Type SSD,Internal Memory Type HDD,Graphics Card Manufacturer,Dedicated Graphics Memory,Graphics Card Model,manufacturer,org_price,store,Screen Resolution,Screen Type,Screen Size
Apple,M1,Apple M1 chip,Unified,8,0,0,Apple,4,7coreApple-designedintegratedGPU,apple,45499000,digikala,,LED Backlit,
Intel,Corei5,12450H,DDR4,16,512,0,Nvidia,4,GeForce RTX™ 2050,msi,48900000,meghdad,1080 * 1920 ,LED Backlit,17.3
Intel,Corei7,12650H,DDR5,16,512,0,Nvidia,6,GeForce RTX™ 4050,msi,62700000,meghdad,1080 * 1920 ,LED Backlit,15.6
AMD,Ryzen5,5600H,DDR4,16,512,0,AMD,4,RX VEGA 7,asus,29749000,meghdad,1200*1920,LED Backlit,16
Apple,M1,Apple M1 chip,Unified,8,0,0,Apple,4,7coreApple-designedintegratedGPU,apple,45490000,digikala,,LED Backlit,
Intel,Corei7,12700H,DDR4,16,1024,0,Nvidia,4,NVIDIA GeForce RTX 3050,acer,48100000,meghdad,1080 * 1920 ,LED Backlit,15.6
Intel,Corei7,12700H,DDR4,32,1024,0,Nvidia,4,NVIDIA GeForce RTX 3050,acer,49300000,meghdad,1080 * 1920 ,LED Backlit,15.6
AMD,Ryzen5,5600H,DDR4,8,512,0,AMD,4,RX VEGA 7,asus,28318000,meghdad,1200*1920,LED Backlit,16
Apple,M1Pro,M1 Pro with 8 core CPU,unified memory,16,512,0,Apple,4,14core GPU16core Neural Engine200GB/s memory bandwidth,apple,92100000,meghdad,3024*1964,Liquid Retina,14.2
Apple,M1,M1 Pro,Unified,16,0,0,Apple,4,GPUwith16-core,apple,99900000,digikala,,Liquid Retina,
Apple,M1,M1 Pro,Unified,16,0,0,Apple,4,GPUwith16-core,apple,102900000,digikala,,Liquid Retina,
Apple,M2,8‑Core,Unified,8,0,0,Apple,4,M210‑core,apple,56790000,digikala,,Liquid Retina,
Apple,M2Pro,M2 Pro (12 Cores),Unified,32,0,0,Apple,4,M2Pro,apple,181990000,digikala,,Liquid Retina,
Apple,M2,8‑core CPU,Unified,8,0,0,Apple,4,10‑coreGPU,apple,73490000,digikala,,Liquid Retina,
Apple,M2,8‑Core,Unified,8,0,0,Apple,4,M210‑core,apple,74190000,digikala,,Liquid Retina,
Apple,M2,8‑Core,Unified,8,0,0,Apple,4,M210‑core,apple,74500000,digikala,,Liquid Retina,
Apple,M2Pro,M2 Pro (10 Cores),Unified,16,0,0,Apple,4,14-Cores,apple,102490000,digikala,,Liquid Retina,
Apple,M2,8‑Core,Unified,8,0,0,Apple,4,M210‑core,apple,56890000,digikala,,Liquid Retina,
Apple,M2Pro,M2 Pro (12 Cores),Unified,16,0,0,Apple,4,M2Pro,apple,117990000,digikala,,Liquid Retina,
Apple,M2,8‑Core,LPDDR5,16,0,0,Apple,4,8COREGPU,apple,77399000,digikala,,Liquid Retina,
Apple,M2Pro,M2 Pro (10 Cores),Unified,16,0,0,Apple,4,14-Cores,apple,102990000,digikala,,Liquid Retina,
Apple,M2,8‑Core,Unified,8,0,0,Apple,4,M210‑core,apple,57490000,digikala,,Liquid Retina,
Apple,M1Pro,M1 Pro with 10 core CPU,unified memory,16,512,0,Apple,4,16core GPU16core Neural Engine200GB/s memory bandwidth,apple,98500000,meghdad,3456*2234,Liquid Retina,16.2
Apple,M1Pro,M1 Pro with 10 core CPU,unified memory,16,1024,0,Apple,4,16core GPU16core Neural Engine200GB/s memory bandwidth,apple,104880000,meghdad,3456*2234,Liquid Retina,16.2
Apple,M2Pro,M2 Pro (12 Cores),Unified,16,0,0,Apple,4,M2Pro,apple,128490000,digikala,,Liquid Retina,
Apple,M1Pro,M1 Pro with 10 core CPU,unified memory,16,1024,0,Apple,4,16core GPU16core Neural Engine200GB/s memory bandwidth,apple,107888000,meghdad,3024*1964,Liquid Retina,14.2
Apple,M2,8‑core CPU,Unified,8,0,0,Apple,4,10‑coreGPU,apple,73990000,digikala,,Liquid Retina,
Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,unified memory,8,512,0,Apple,4,10-core GPU,apple,80300000,meghdad,1800 * 2880,Liquid Retina,15
Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,unified memory,8,256,0,Apple,4,10-core GPU,apple,63388000,meghdad,1800 * 2880,Liquid Retina,15
Apple,M1Pro,M1 Pro with 10 core CPU,unified memory,16,1024,0,Apple,4,16core GPU16core Neural Engine200GB/s memory bandwidth,apple,101888000,meghdad,3024*1964,Liquid Retina,14.2
Apple,M1,M1 Pro,Unified,16,0,0,Apple,4,GPUwith16-core,apple,101290000,digikala,,Liquid Retina,
Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,unified memory,8,256,0,Apple,4,10-core GPU,apple,69300000,meghdad,1800 * 2880,Liquid Retina,15
Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,unified memory,8,256,0,Apple,4,10-core GPU,apple,71500000,meghdad,1800 * 2880,Liquid Retina,15
Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,unified memory,8,512,0,Apple,4,10-core GPU,apple,79400000,meghdad,1800 * 2880,Liquid Retina,15
Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,unified memory,8,256,0,Apple,4,10-core GPU,apple,63300000,meghdad,1800 * 2880,Liquid Retina,15
Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,unified memory,8,512,0,Apple,4,10-core GPU,apple,81988000,meghdad,1800 * 2880,Liquid Retina,15
Apple,M2Pro,M2 Pro (12 Cores),Unified,16,0,0,Apple,4,M2Pro,apple,122890000,digikala,,Liquid Retina,
Apple,M2,8‑Core,Unified,8,0,0,Apple,4,M210‑core,apple,72900000,digikala,,Liquid Retina,
Apple,M2,8‑Core,Unified,8,0,0,Apple,4,M210‑core,apple,74790000,digikala,,Liquid Retina,
Apple,M1,M1 Pro,Unified,16,0,0,Apple,4,GPUwith16-core,apple,102900000,digikala,,Liquid Retina,
Apple,M2Pro,M2 Pro (12 Cores),Unified,16,0,0,Apple,4,M2Pro,apple,129990000,digikala,,Liquid Retina,
Apple,M2Pro,M2 Pro (12 Cores),Unified,16,0,0,Apple,4,M2Pro,apple,128490000,digikala,,Liquid Retina,
Apple,M1Pro,M1 Pro with 8 core CPU,unified memory,16,512,0,Apple,4,14core GPU16core Neural Engine200GB/s memory bandwidth,apple,105000000,meghdad,3024*1964,Liquid Retina,14.2
Apple,M2,8‑Core,Unified,8,0,0,Apple,4,M210‑core,apple,57490000,digikala,,Liquid Retina,
Apple,M1Pro,M1 Pro with 10 core CPU,unified memory,16,512,0,Apple,4,16core GPU16core Neural Engine200GB/s memory bandwidth,apple,97880000,meghdad,3456*2234,Liquid Retina,16.2
Intel,Corei7,1165G7,DDR4,8,0,1024,Nvidia,2,NVIDIA Geforce MX450,lenovo,28700000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei5,1155G7,DDR4,20,256,1024,Nvidia,2,NVIDIA Geforce MX350,lenovo,27500000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,1215U,DDR4,20,512,0,Intel,4,UHD,asus,20884000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,1255U,DDR4,8,512,1024,Intel,4,IRIS XEUP TO 4GB,lenovo,30190000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,I3 1115G4,DDR4,8,0,1024,Intel,4,Intel UHD Graphics,lenovo,16470000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,1255U,DDR4,16,512,1024,Intel,4,IRIS XEUP TO 4GB,lenovo,31250000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei5,1335U,DDR4,8,512,0,Intel,4,Intel Iris Graphics,asus,27689000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,I3 1115G4,DDR4,8,256,1024,Nvidia,2,MX450,lenovo,21850000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei5,1335U,DDR4,12,512,0,Intel,4,Intel Iris Xe Graphics,asus,27789000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei5,1235U,DDR4,8,512,0,Intel,4,Iris Xe Graphics,hp,47720000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,1215U,DDR4,12,256,0,Intel,4,UHD,asus,18484000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,11370H,DDR4,16,256,1024,Nvidia,4,GTX 1650,lenovo,42850000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,12700H,DDR5,16,0,0,Nvidia,4,GeForceRTX3060,dell,79900000,digikala,,OLED,
Intel,Corei5,1155G7,DDR4,12,0,1024,Nvidia,2,NVIDIA Geforce MX350,lenovo,25630000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei5,1235U,DDR4,16,512,0,Intel,4,Intel Iris Xe Graphics,asus,27633000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,1115G4,DDR4,4,0,0,Nvidia,4,GeForceMX330,asus,19250000,digikala,,OLED,
Intel,Corei5,11400H,DDR4,16,0,0,Nvidia,4,GeForceRTX3050,dell,52900000,digikala,,OLED,
Intel,Corei5,1335U,DDR4,8,512,0,Intel,4,Intel Iris Xe Graphics,asus,27189000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,1115G4,DDR4,12,0,0,Intel,4,UHD,acer,16499000,digikala,,OLED,
Intel,Corei3,1215U,DDR4,12,512,0,Intel,4,UHD,asus,19434000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,I3 1115G4,DDR4,12,512,1024,Nvidia,2,MX450,lenovo,23550000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,1355U,DDR4,16,512,0,Intel,4,Intel Iris Xe Graphics,asus,31374000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,1115G4,DDR4,4,0,0,Intel,4,UHDGraphics,asus,16115000,digikala,,OLED,
Intel,Corei3,I3 1115G4,DDR4,12,256,1024,Nvidia,2,MX450,lenovo,22350000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,I3 1115G4,DDR4,8,512,0,Nvidia,2,MX450,lenovo,21170000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,I3 1115G4,DDR4,8,512,0,Intel,4,Intel UHD Graphics,lenovo,16470000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,12700H,DDR4,24,0,0,Intel,4,IrisXe,asus,40500000,digikala,,OLED,
Intel,Corei7,1065 G7,DDR4,16,0,1024,Nvidia,2,NVIDIA Geforce MX330,asus,30999000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,I3 1115G4,DDR4,4,0,1024,Nvidia,2,MX450,lenovo,20450000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,11370H,DDR4,32,512,1024,Nvidia,4,GTX 1650,lenovo,45830000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,1360P,DDR5,16,0,0,Nvidia,4,GeForceRTX2050,dell,96999000,digikala,,OLED,
Intel,Corei7,1165G7,DDR4,16,256,1024,Nvidia,2,NVIDIA Geforce MX450,lenovo,33150000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei5,1135G7,DDR4,12,0,0,Nvidia,4,GeForceMX330,asus,27395000,digikala,,OLED,
Intel,Corei5,1035G1,LPDDR4X,16,0,0,Intel,4,UHDGraphics,microsoft,33200000,digikala,,OLED,
Intel,Corei3,I3 1115G4,DDR4,8,512,1024,Intel,4,Intel UHD Graphics,lenovo,18270000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,1115G4,DDR4,8,0,0,Intel,4,UHD,acer,15990000,digikala,,OLED,
Intel,Corei3,I3 1115G4,DDR4,8,256,0,Intel,4,Intel UHD Graphics,lenovo,15990000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei5,1155G7,DDR4,16,256,1024,Nvidia,2,NVIDIA Geforce MX350,lenovo,26840000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,1255U,DDR4,12,0,0,Nvidia,4,GeForceMX570,dell,71999000,digikala,,OLED,
Intel,Corei7,1165G7,DDR4,12,0,1024,Nvidia,2,NVIDIA Geforce MX450,lenovo,29100000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei5,1155G7,DDR4,8,0,1024,Nvidia,2,NVIDIA Geforce MX350,lenovo,25150000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,1355U,DDR4,8,512,0,Intel,4,Intel Iris Xe Graphics,asus,30274000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei5,1155G7,DDR4,8,256,1024,Nvidia,2,NVIDIA Geforce MX350,lenovo,26150000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,I3 1115G4,DDR4,12,256,0,Nvidia,2,MX450,lenovo,20770000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,I3 1115G4,DDR4,8,128,1024,Intel,4,Intel UHD Graphics,lenovo,17210000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei5,1155G7,DDR4,12,256,1024,Nvidia,2,NVIDIA Geforce MX350,lenovo,26640000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,12700H,DDR4,16,0,0,Intel,4,IrisXe,asus,40600000,digikala,,OLED,
Intel,Corei3,1215U,DDR4,20,256,0,Intel,4,UHD,asus,19599000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,1315U,DDR4,8,256,0,Intel,4,Intel Iris Graphics,asus,20574000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei5,1335U,DDR4,16,512,0,Intel,4,Intel Iris Xe Graphics,asus,28474000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,1215U,DDR4,8,0,0,Intel,4,UHDGraphics,asus,23240000,digikala,,OLED,
Intel,Corei3,1215U,DDR4,8,512,0,Intel,4,UHD,asus,19003000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,1005G1,DDR4,4,0,0,Intel,4,IntegratedIntelGraphics,hp,24200000,digikala,,OLED,
Intel,Corei3,1115G4,DDR4,8,0,0,Intel,4,UHDGraphics,acer,16790000,digikala,,OLED,
Intel,Corei7,1165G7,DDR4,8,0,0,Nvidia,4,GeforceMX450,lenovo,27800000,digikala,,OLED,
Intel,Corei3,1215U,DDR4,4,0,0,Intel,4,UHDGraphics,asus,17980000,digikala,,OLED,
Intel,Corei5,1135G7,DDR4,24,0,0,Nvidia,4,GeForceMX330,asus,32480000,digikala,,OLED,
Intel,Corei5,1155G7,DDR4,24,256,1024,Nvidia,2,NVIDIA Geforce MX350,lenovo,28175000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei5,1135G7,DDR4,12,0,0,Nvidia,4,GeForceMX330,asus,29260000,digikala,,OLED,
Intel,Corei5,1135G7,DDR4,8,0,0,Nvidia,4,GeForceMX330,asus,27500000,digikala,,OLED,
Intel,Corei7,1185G7 Quad core 11th Generation,LPDDR4X,16,0,0,Intel,4,IntelIrisXeGraphics,microsoft,69990000,digikala,,OLED,
Intel,Corei7,12700H,DDR4,24,0,0,Intel,4,IrisXe,asus,42720000,digikala,,OLED,
AMD,Ryzen5,5600H,DDR4,8,512,0,Nvidia,4,Geforce GTX1650,asus,30049000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,1355U,DDR4,12,512,0,Intel,4,Intel Iris Xe Graphics,asus,330889000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,1165G7,DDR4,16,1024,0,Nvidia,2,NVIDIA Geforce MX450,lenovo,34650000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei5,1155G7,DDR4,8,512,0,Nvidia,2,NVIDIA Geforce MX350,lenovo,25190000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,1355U,DDR4,16,1024,0,Intel,4,Intel Iris Xe Graphics,asus,32874000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,1215U,DDR4,8,1024,0,Intel,4,UHD,asus,19979000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei5,1145G7,DDR4,8,0,0,Intel,4,IntelIrisXeGraphics,microsoft,46900000,digikala,,OLED,
Intel,Corei3,1115G4,DDR4,4,0,0,Intel,4,UHD,asus,19390000,digikala,,OLED,
Intel,Corei5,1335U,DDR4,12,1024,0,Intel,4,Intel Iris Xe Graphics,asus,28649000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,12700H,DDR4,24,0,0,Intel,4,IrisXe,asus,40500000,digikala,,OLED,
Intel,Corei3,1115G4,DDR4,4,0,0,Intel,4,UHD,asus,19390000,digikala,,OLED,
Intel,Corei3,I3 1115G4,DDR4,8,256,1024,Intel,4,Intel UHD Graphics,lenovo,17640000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,1165G7,DDR4,16,0,0,Nvidia,4,GeforceMX330GDDR5,asus,37200000,digikala,,OLED,
Intel,Corei3,I3 1115G4,DDR4,4,256,0,Intel,4,Intel UHD Graphics,lenovo,15450000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,1165G7,DDR4,16,512,0,Nvidia,2,NVIDIA Geforce MX350,asus,34644000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,1250U,DDR5,16,0,0,Intel,4,IrisXe,dell,94999000,digikala,,OLED,
AMD,Ryzen5,4600H,DDR4,8,512,0,AMD,4,AMD Radeon,asus,24289000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,12700H,DDR4,16,1024,0,Nvidia,4,GeForce RTX 3050,asus,56674000,meghdad,1620 * 2880,OLED,15.6
Intel,Corei5,1135G7,DDR4,16,0,0,Nvidia,4,GeForceMX350,asus,32110000,digikala,,OLED,
Intel,Corei7,1260P,LPDDR5,16,0,0,Intel,4,IrisXe,asus,63000000,digikala,,OLED,
Intel,Corei7,12700H,LPDDR5,16,0,0,Intel,4,IRISXE,asus,62900000,digikala,,OLED,
Intel,Corei7,1165G7,LPDDR4X,16,0,0,Intel,4,IrisXe,asus,59900000,digikala,,OLED,
Intel,Corei7,12700H,LPDDR5,16,0,0,Nvidia,4,GeForceRTX3050Ti,asus,102990000,digikala,,OLED,
Intel,Corei7,12700H,DDR4,16,0,0,Nvidia,4,GeForceRTX3050,asus,59800000,digikala,,OLED,
