,0,1
0,Screen_Type,0.002327872298688451
1,Category,0.0018913651388763652
2,Storage_HDD,0.0017294563959249266
3,Storage_SSD,0.001718283791086531
4,GPU_Brand,-0.0015850609011266422
5,RAM,0.0015617773868403261
6,GPU_Model,-0.0015027743065722076
7,OS_Version,-0.0012605149725269979
8,CPU_GHZ,0.0011153802768726466
9,Manufacturer,-0.0011075431652815197
10,Screen_resolution,0.0008989180333018231
11,Storage_Flash,-0.0006288019664704236
12,OS,0.0006231567904609339
13,CPU_Brand,0.0005664919041539829
14,Screen_Size,-0.0005318746771864088
15,CPU_Model,0.000495875346320286
16,Storage_Hybrid,-0.0004908952596975211
