,Profit
12,1.888000728519536
21,1.9032303282108447
34,1.9206826600809677
37,1.9610809906167719
38,1.9302993371397117
49,1.845778894593405
56,1.8833071768252676
64,1.9851916037998456
66,1.9227679616672515
70,1.9307985823576046
72,1.9624338626712328
74,1.9227679616672515
81,1.9774588467589223
86,1.9213956365365865
87,1.9567825609434295
108,1.983212960801894
110,1.9168112201637666
120,1.9247042219653943
127,1.9434041945487324
139,1.9635836137479563
145,1.9562689643034925
146,1.9123153100699313
148,1.9191985469223944
155,1.913273523437832
158,1.9081258300927861
166,1.9032303282108447
173,1.9431027069886748
179,1.918425390046945
182,1.9402079547145057
185,1.925921645260924
189,1.9253198575786312
201,1.9503762814081578
203,1.9537054625333927
214,1.8901120227473331
222,1.9567825609434295
226,1.9150979268822288
234,1.918425390046945
236,1.9537054625333927
241,1.9069763406598041
242,1.9482713629894661
252,1.9576133709282384
254,1.9004418126006035
264,1.9123153100699313
265,1.972577784591014
266,1.9529169892165685
278,1.9645567698324582
281,1.9018685196168685
282,1.9369295212326172
284,1.9213956365365865
286,1.8857394887677412
288,1.981005242870935
291,1.9176300211731028
306,1.989105630533095
307,1.9774588467589223
312,1.9102966951436073
316,1.9610809906167719
333,1.8525064041561778
339,1.8957077816465628
342,1.9102966951436073
346,1.8989441970827199
347,1.9544677540239728
348,1.9018685196168685
357,1.9881837371638775
360,1.8957077816465628
365,1.914200444790451
366,1.9854460531783586
369,1.9645567698324582
376,1.9679583007480885
377,1.9045325314691692
387,1.9331600682505183
388,1.980629488468364
394,1.9113237762291002
397,1.8939520033627069
412,1.8957077816465628
418,1.953116653963482
425,1.913273523437832
429,1.9069763406598041
454,1.9591879214821901
464,1.9480254573412668
465,1.9766129009257785
468,1.948755640097765
484,1.9566126567418738
485,1.9018685196168685
493,1.941858080164857
498,1.914200444790451
499,1.9069763406598041
502,1.9123153100699313
508,1.973760405135976
513,1.897368812438263
516,1.93360747794567
519,1.892090888508292
521,1.9206826600809677
523,1.897368812438263
531,1.9353227455891366
533,1.9102966951436073
544,1.9900819486241443
565,1.9675488110872674
584,1.9081258300927861
588,1.9376960976396962
589,1.9731382181454116
592,1.9123153100699313
593,1.9802463192952997
598,1.9628239096826274
599,1.9069763406598041
612,1.8939520033627069
620,1.9523074174373867
621,1.981786671673328
646,1.9514688577625314
652,1.947776974826516
654,1.8833071768252676
659,1.9514688577625314
660,1.9667052501878022
663,1.892090888508292
668,1.9018685196168685
670,1.9787533800054995
678,1.8674129272810298
680,1.972739482648753
684,1.949695358089024
686,1.9734516886926357
700,1.9714087390554644
707,1.94457406058554
719,1.9890363361550736
728,1.8901120227473331
733,1.974139817345014
738,1.9018685196168685
742,1.888000728519536
745,1.8746933680686857
753,1.8989441970827199
771,1.9682602812208452
773,1.964910664902612
780,1.9872133089963848
781,1.9176300211731028
784,1.9817355491499737
786,1.968557988152902
794,1.8939520033627069
798,1.9829264530064188
801,1.9018685196168685
821,1.9587271074960704
822,1.8989441970827199
824,1.9398642738509526
835,1.9560951389357462
851,1.9150979268822288
853,1.9391622951831007
867,1.9317691973413493
868,1.9045325314691692
876,1.9770078131798523
877,1.9159676662632035
883,1.9123153100699313
886,1.8778200933302622
890,1.929271258974732
894,1.9004418126006035
895,1.9623022800584593
896,1.9113237762291002
901,1.863102814420669
909,1.9004418126006035
917,1.940881316862804
922,1.8957077816465628
923,1.9312884274581925
925,1.9150979268822288
938,1.8939520033627069
940,1.9176300211731028
941,1.9307985823576046
946,1.982829987864284
948,1.9150979268822288
966,1.9688515331834948
971,1.8857394887677412
973,1.9577759092725324
980,1.8957077816465628
998,1.9069763406598041
1001,1.9240741320127392
1003,1.9344795183624546
1012,1.941858080164857
1016,1.8957077816465628
1017,1.9168112201637666
1023,1.897368812438263
1033,1.9092316153928997
1039,1.913273523437832
1043,1.9574496467154587
1047,1.9092316153928997
1048,1.954839580240542
1050,1.9820905890024412
1051,1.9159676662632035
1061,1.9503762814081578
1067,1.9663800634197033
1068,1.968059442815058
1076,1.9671312289190468
1090,1.9821407783774874
1104,1.9915304086149468
1123,1.9755900388375747
1140,1.9081258300927861
1142,1.8806780092029645
1143,1.9057798139763025
1158,1.9213956365365865
1168,1.9282012245765772
1169,1.9168112201637666
1170,1.9670255336558713
1176,1.9176300211731028
1177,1.9102966951436073
1185,1.9809520074859681
1193,1.932241200732701
1197,1.9045325314691692
1200,1.9553861913174742
1203,1.888000728519536
1209,1.9870207167876113
1218,1.9282012245765772
1231,1.8957077816465628
1234,1.9533146029854977
1238,1.9159676662632035
1246,1.93360747794567
1248,1.9045325314691692
1255,1.8857394887677412
1256,1.9057798139763025
1260,1.892090888508292
1262,1.9773310220066358
1265,1.9606583098329449
1267,1.9609409971133855
1269,1.8857394887677412
1297,1.888000728519536
1301,1.9234289416519317
1306,1.8581928345514132
1313,1.913273523437832
1315,1.9113237762291002
1320,1.9240741320127392
1329,1.945138446448853
1334,1.9176300211731028
1368,1.9712361765627249
1373,1.9069763406598041
1374,1.9123153100699313
1384,1.9206826600809677
1386,1.9735293082103584
1392,1.9191985469223944
1394,1.9191985469223944
1398,1.941858080164857
1403,1.9550232454286705
1404,1.9762777255269073
1411,1.9191985469223944
1421,1.9102966951436073
1429,1.925921645260924
1440,1.9092316153928997
1443,1.9102966951436073
1469,1.9092316153928997
1477,1.9176300211731028
1490,1.9804661969251958
1491,1.9092316153928997
1507,1.913273523437832
1523,1.9159676662632035
1524,1.8833071768252676
1530,1.9276494538360263
1544,1.955205441859578
1545,1.973760405135976
