,Processor Manufacturer,Processor Series,Processor Model,RAM Type,RAM Memory,Internal Memory Type SSD,Internal Memory Type HDD,Graphics Card Manufacturer,Dedicated Graphics Memory,Graphics Card Model,manufacturer,org_price,store,Screen Type,Screen Size,Screen_resolution_width,Screen_resolution_height,predict
75,Intel,Corei3,1215U,DDR4,20,512,0,Intel,4,UHD,asus,20884000,meghdad,OLED,15.6,1080,1920,22293815.63367813
76,Intel,Corei7,1255U,DDR4,32,0,0,Intel,4,IrisXe,hp,57190000,digikala,IPS,15.6,1080,1920,57721052.135326475
77,AMD,Ryzen5,5500U,DDR4,8,0,0,AMD,4,RadeonGraphics,hp,21450000,digikala,WLED Backlit,15.6,1080,1920,27783750.006715503
78,Intel,Corei5,1135G7,DDR4,16,256,0,Intel,4,Intel® Iris® Xe Graphics,microsoft,37288000,meghdad,PixelSense,12.5,1080,1920,45962450.29437229
79,Intel,Corei5,11400H,DDR4,8,512,0,Nvidia,4,GeForce RTX3050,asus,42249000,meghdad,IPS,15.6,1080,1920,39064181.60410104
80,AMD,ATHLON,Silver 3050e,DDR4,4,0,0,AMD,4,RadeonGraphics,lenovo,12620000,digikala,TN,15.6,1080,1920,14624793.216374269
81,Intel,Corei3,I3 1115G4,DDR4,12,512,1024,Nvidia,2,MX450,lenovo,23550000,meghdad,OLED,15.6,1080,1920,21565160.0
82,Intel,Corei7,1065G7,DDR4,16,0,0,Nvidia,4,GeForceMX330,asus,34020000,digikala,lcd,15.6,1080,1920,41633519.47402598
83,Intel,Corei5,1035G1,LPDDR4X,8,0,0,Intel,4,UHDGraphics,microsoft,27990000,digikala,PixelSense,15.6,1080,1920,48514854.52380953
84,Intel,Corei5,12500H,DDR4,32,1024,0,Nvidia,4,GeForce RTX3050,asus,49809000,meghdad,IPS,15.6,1080,1920,43980847.9846957
85,AMD,Ryzen7,5700U,DDR4,8,0,0,Nvidia,4,GeForceMX450,asus,45675000,digikala,IPS,15.6,1080,1920,39293344.16081068
86,Intel,Corei5,1240P,DDR4,8,0,0,Nvidia,4,GeForceRTX3050,acer,36950000,digikala,IPS,15.6,1080,1920,40660216.26165183
87,Intel,Corei7,12650H,DDR5,16,0,0,Nvidia,4,GeForceRTX4050,msi,62950000,digikala,IPS,15.6,1080,1920,75973723.83301282
88,AMD,Ryzen5,7520U,DDR5,8,0,0,AMD,4,Radeon,acer,23688000,digikala,OLED,15.6,1080,1920,37928983.116883114
89,Intel,Corei5,1235U,DDR4,8,512,0,Intel,4,Iris Xe Graphics,hp,47550000,meghdad,OLED,14.0,1080,1920,37008246.71212121
90,Intel,Corei3,1115G4,DDR4,4,0,0,Nvidia,4,GeForceMX330,asus,19780000,digikala,IPS,15.6,1080,1920,23473412.24242424
91,Intel,Corei7,8650U,DDR3,16,512,0,Nvidia,6,GTX 1060 GDDR5,microsoft,66800000,meghdad,PixelSense,15.0,2160,3840,70812605.13888888
92,Intel,Corei5,1155G7,DDR4,24,256,1024,Nvidia,2,NVIDIA Geforce MX350,lenovo,28175000,meghdad,OLED,15.6,1080,1920,31787933.219106823
93,Intel,Corei7,1260P,DDR4,16,512,0,Nvidia,4,RTX 3050,acer,40800000,meghdad,IPS,15.6,1080,1920,46663726.711338
94,Intel,Corei3,1215U,DDR4,12,0,0,Intel,4,UHDGraphics,lenovo,20440000,digikala,TN,15.6,1080,1920,18454830.085616138
95,AMD,Ryzen7,6800H,DDR5,16,0,0,Nvidia,4,GeForceRTX3050,asus,54300000,digikala,IPS,15.6,1080,1920,59559945.05952381
96,Intel,Celeron,Celeron N4020,DDR4,4,512,0,Intel,4,Intel UHD Graphic,lenovo,11600000,meghdad,TN,15.6,768,1366,16015258.611111114
97,Intel,Corei5,1135G7,DDR4,16,0,0,Nvidia,4,GeForceMX330,asus,30200000,digikala,lcd,15.6,1080,1920,34594971.888139635
98,Intel,Celeron,N4020,DDR4,4,0,0,Intel,4,UHDGraphics600,lenovo,13150000,digikala,TN,15.6,1080,1920,16188949.049707603
